Time	Open	High	Low	Close	Volume	Spread
2019-01-01 22:00:00	1.14598	1.14672	1.14598	1.14606	2357	85
2019-01-01 23:00:00	1.14605	1.14676	1.14566	1.14612	9467	54
2019-01-02 00:00:00	1.14612	1.14626	1.14543	1.14561	7150	3
2019-01-02 01:00:00	1.14561	1.14563	1.14457	1.14521	11412	4
2019-01-02 02:00:00	1.14521	1.14533	1.14426	1.14456	14688	4
2019-01-02 03:00:00	1.14456	1.14487	1.14446	1.14457	5987	3
2019-01-02 04:00:00	1.14456	1.14468	1.14426	1.14449	8058	4
2019-01-02 05:00:00	1.1445	1.14788	1.14449	1.1478	12619	4
2019-01-02 06:00:00	1.14779	1.14967	1.14769	1.14852	14775	4
2019-01-02 07:00:00	1.14851	1.14931	1.14737	1.14766	20427	4
2019-01-02 08:00:00	1.14744	1.1478	1.14286	1.1448	33743	4
2019-01-02 09:00:00	1.1448	1.14496	1.14221	1.1434	28227	4
2019-01-02 10:00:00	1.14341	1.14418	1.1432	1.14368	24874	3
2019-01-02 11:00:00	1.14369	1.14389	1.14246	1.14336	22097	4
2019-01-02 12:00:00	1.14336	1.1434	1.13979	1.14051	22671	3
2019-01-02 13:00:00	1.14049	1.14055	1.13674	1.13716	34633	3
2019-01-02 14:00:00	1.13716	1.13752	1.1358	1.13607	34275	3
2019-01-02 15:00:00	1.13609	1.13696	1.13419	1.13535	31292	3
2019-01-02 16:00:00	1.13535	1.13621	1.13487	1.13563	21540	3
2019-01-02 17:00:00	1.13563	1.1357	1.13313	1.13352	22073	3
2019-01-02 18:00:00	1.13351	1.13362	1.1326	1.13278	17674	3
2019-01-02 19:00:00	1.13278	1.13441	1.1325	1.13434	15690	3
2019-01-02 20:00:00	1.13436	1.13476	1.13404	1.13455	20629	4
2019-01-02 21:00:00	1.13455	1.13477	1.134	1.13432	7700	3
2019-01-02 22:00:00	1.13423	1.13541	1.13104	1.13359	8380	25
2019-01-02 23:00:00	1.13359	1.13513	1.13092	1.13121	14818	53
2019-01-03 00:00:00	1.13122	1.13467	1.13099	1.13397	14012	6
2019-01-03 01:00:00	1.13396	1.13525	1.13396	1.13484	17958	4
2019-01-03 02:00:00	1.13483	1.13615	1.13459	1.13581	17226	4
2019-01-03 03:00:00	1.13581	1.13715	1.13567	1.13648	14770	5
2019-01-03 04:00:00	1.13648	1.13678	1.13603	1.13672	8370	4
2019-01-03 05:00:00	1.13672	1.13698	1.13569	1.13609	15522	4
2019-01-03 06:00:00	1.13608	1.13765	1.13548	1.13722	14355	5
2019-01-03 07:00:00	1.13722	1.13768	1.13616	1.13696	26526	4
2019-01-03 08:00:00	1.13696	1.13838	1.1354	1.138	28632	3
2019-01-03 09:00:00	1.138	1.13839	1.13728	1.13757	22939	3
2019-01-03 10:00:00	1.13757	1.13794	1.13633	1.13682	22383	3
2019-01-03 11:00:00	1.13682	1.13717	1.13403	1.13414	22243	3
2019-01-03 12:00:00	1.13414	1.13553	1.13394	1.13435	19329	3
2019-01-03 13:00:00	1.13433	1.13669	1.13374	1.13654	26330	3
2019-01-03 14:00:00	1.13654	1.13723	1.13613	1.13644	29880	4
2019-01-03 15:00:00	1.13648	1.14092	1.13648	1.13927	45325	5
2019-01-03 16:00:00	1.13926	1.1411	1.13869	1.13983	37440	4
2019-01-03 17:00:00	1.13982	1.14058	1.13931	1.13987	26347	4
2019-01-03 18:00:00	1.13987	1.14067	1.13962	1.14006	21776	4
2019-01-03 19:00:00	1.14006	1.14038	1.13828	1.13912	20466	4
2019-01-03 20:00:00	1.13914	1.14013	1.13897	1.13982	21862	4
2019-01-03 21:00:00	1.13982	1.13995	1.13923	1.13924	6364	4
2019-01-03 22:00:00	1.13924	1.13985	1.13865	1.13931	4235	23
2019-01-03 23:00:00	1.1393	1.13964	1.13895	1.13899	10216	7
2019-01-04 00:00:00	1.13901	1.14054	1.13893	1.14052	14827	5
2019-01-04 01:00:00	1.14052	1.14118	1.14027	1.1404	13882	3
2019-01-04 02:00:00	1.14041	1.14076	1.13974	1.13976	10374	3
2019-01-04 03:00:00	1.13975	1.13986	1.13881	1.13978	12120	4
2019-01-04 04:00:00	1.1398	1.13985	1.139	1.13941	8560	4
2019-01-04 05:00:00	1.13941	1.13982	1.13894	1.13899	8146	3
2019-01-04 06:00:00	1.139	1.1394	1.13832	1.13932	9387	4
2019-01-04 07:00:00	1.13933	1.14098	1.13919	1.14077	19666	3
2019-01-04 08:00:00	1.14077	1.14167	1.14022	1.14079	19705	3
2019-01-04 09:00:00	1.14081	1.14189	1.14024	1.14032	20925	4
2019-01-04 10:00:00	1.14032	1.14085	1.13949	1.14039	18924	4
2019-01-04 11:00:00	1.14041	1.14155	1.14028	1.14114	17955	3
2019-01-04 12:00:00	1.14115	1.14139	1.14046	1.14057	20006	3
2019-01-04 13:00:00	1.14057	1.14077	1.1363	1.13713	30801	3
2019-01-04 14:00:00	1.13713	1.13728	1.1346	1.13535	36672	3
2019-01-04 15:00:00	1.13535	1.14108	1.13456	1.14104	39687	3
2019-01-04 16:00:00	1.14103	1.14177	1.13996	1.14086	27694	3
2019-01-04 17:00:00	1.14086	1.14117	1.13933	1.14053	18736	3
2019-01-04 18:00:00	1.14053	1.14106	1.14026	1.14039	14350	4
2019-01-04 19:00:00	1.14039	1.14039	1.1394	1.14	19965	3
2019-01-04 20:00:00	1.14001	1.14042	1.13956	1.14028	15829	4
2019-01-04 21:00:00	1.14029	1.14033	1.13943	1.13943	5548	3
2019-01-06 22:00:00	1.13955	1.14056	1.13954	1.14047	1514	42
2019-01-06 23:00:00	1.14047	1.14129	1.14046	1.14102	10948	24
2019-01-07 00:00:00	1.14102	1.14135	1.14046	1.14092	10442	5
2019-01-07 01:00:00	1.14092	1.14229	1.14078	1.1421	11627	4
2019-01-07 02:00:00	1.14211	1.14222	1.14171	1.142	7904	4
2019-01-07 03:00:00	1.142	1.14255	1.14162	1.14225	8758	4
2019-01-07 04:00:00	1.14225	1.14299	1.14202	1.14203	10318	3
2019-01-07 05:00:00	1.14203	1.14247	1.142	1.14234	7290	4
2019-01-07 06:00:00	1.14234	1.14272	1.14142	1.14164	11018	4
2019-01-07 07:00:00	1.14167	1.14389	1.141	1.14362	21399	4
2019-01-07 08:00:00	1.14364	1.14402	1.1428	1.14313	20221	3
2019-01-07 09:00:00	1.14313	1.14479	1.14292	1.14413	17634	3
2019-01-07 10:00:00	1.14413	1.14452	1.1435	1.14387	18504	3
2019-01-07 11:00:00	1.14387	1.14441	1.14332	1.14404	15295	2
2019-01-07 12:00:00	1.14405	1.14473	1.14367	1.14393	18619	3
2019-01-07 13:00:00	1.14393	1.1459	1.14392	1.14576	24262	3
2019-01-07 14:00:00	1.14575	1.14727	1.14559	1.14675	26733	3
2019-01-07 15:00:00	1.14683	1.14709	1.14536	1.14635	32646	4
2019-01-07 16:00:00	1.14634	1.147	1.14585	1.14673	24737	3
2019-01-07 17:00:00	1.14673	1.14711	1.1464	1.1469	17048	3
2019-01-07 18:00:00	1.14678	1.14826	1.14676	1.14741	17220	3
2019-01-07 19:00:00	1.14742	1.14824	1.14729	1.14794	13475	3
2019-01-07 20:00:00	1.14797	1.14801	1.14695	1.14767	12865	4
2019-01-07 21:00:00	1.14769	1.1477	1.14722	1.1474	4810	4
2019-01-07 22:00:00	1.1474	1.14771	1.1471	1.14753	2937	11
2019-01-07 23:00:00	1.14754	1.14806	1.14752	1.14789	7055	12
2019-01-08 00:00:00	1.1479	1.14844	1.14669	1.14678	11495	4
2019-01-08 01:00:00	1.14676	1.14693	1.1447	1.14482	16541	4
2019-01-08 02:00:00	1.14482	1.14533	1.14415	1.14503	12616	3
2019-01-08 03:00:00	1.14503	1.14515	1.14351	1.14385	11358	3
2019-01-08 04:00:00	1.14385	1.14401	1.14321	1.14387	8685	4
2019-01-08 05:00:00	1.14389	1.14441	1.14383	1.14437	8291	4
2019-01-08 06:00:00	1.14436	1.14555	1.1441	1.14456	11378	4
2019-01-08 07:00:00	1.14458	1.14526	1.14331	1.14438	21826	5
2019-01-08 08:00:00	1.14439	1.14507	1.14336	1.14488	19125	3
2019-01-08 09:00:00	1.14488	1.14611	1.14473	1.14519	17399	3
2019-01-08 10:00:00	1.14517	1.14517	1.14342	1.14459	20371	3
2019-01-08 11:00:00	1.14456	1.14692	1.14418	1.14654	17657	3
2019-01-08 12:00:00	1.14654	1.14677	1.14429	1.14495	24460	4
2019-01-08 13:00:00	1.14495	1.14497	1.14222	1.14274	32824	4
2019-01-08 14:00:00	1.14274	1.1444	1.14244	1.14386	26493	3
2019-01-08 15:00:00	1.14386	1.14437	1.14256	1.14416	26144	3
2019-01-08 16:00:00	1.14415	1.14487	1.14364	1.14431	20355	3
2019-01-08 17:00:00	1.14431	1.14555	1.14395	1.14543	17840	3
2019-01-08 18:00:00	1.14542	1.14588	1.14404	1.14409	13792	3
2019-01-08 19:00:00	1.14409	1.14445	1.1439	1.14422	11017	3
2019-01-08 20:00:00	1.1442	1.14423	1.14359	1.14403	10756	4
2019-01-08 21:00:00	1.14404	1.14417	1.14375	1.14406	4282	3
2019-01-08 22:00:00	1.14406	1.14434	1.1437	1.14405	2579	23
2019-01-08 23:00:00	1.14406	1.14579	1.14403	1.14572	5741	11
2019-01-09 00:00:00	1.14573	1.14621	1.14537	1.1456	9694	5
2019-01-09 01:00:00	1.14559	1.1466	1.14554	1.14574	12334	4
2019-01-09 02:00:00	1.14574	1.14604	1.14484	1.14516	10757	4
2019-01-09 03:00:00	1.14516	1.14596	1.14515	1.14543	7142	4
2019-01-09 04:00:00	1.14541	1.14597	1.1452	1.14597	5844	3
2019-01-09 05:00:00	1.14598	1.1464	1.14569	1.14606	7902	4
2019-01-09 06:00:00	1.14606	1.14648	1.14555	1.14586	7448	4
2019-01-09 07:00:00	1.14587	1.14784	1.14541	1.14656	19176	3
2019-01-09 08:00:00	1.14657	1.14759	1.14607	1.14629	23884	3
2019-01-09 09:00:00	1.14629	1.14715	1.14559	1.14603	24108	3
2019-01-09 10:00:00	1.14605	1.1463	1.14452	1.14522	20628	4
2019-01-09 11:00:00	1.14522	1.14562	1.14389	1.14561	17576	3
2019-01-09 12:00:00	1.1456	1.14587	1.1446	1.14504	19641	3
2019-01-09 13:00:00	1.14504	1.14642	1.14478	1.14621	25891	3
2019-01-09 14:00:00	1.14621	1.15254	1.14615	1.15245	57149	3
2019-01-09 15:00:00	1.15242	1.15405	1.15086	1.15102	44604	4
2019-01-09 16:00:00	1.15103	1.15377	1.15092	1.15239	34722	3
2019-01-09 17:00:00	1.1524	1.15345	1.15212	1.15325	22224	3
2019-01-09 18:00:00	1.15327	1.15406	1.15286	1.15362	21610	4
2019-01-09 19:00:00	1.15362	1.15578	1.15291	1.15431	32221	6
2019-01-09 20:00:00	1.1543	1.15544	1.15426	1.15542	20930	4
2019-01-09 21:00:00	1.15544	1.1555	1.15416	1.15417	7595	3
2019-01-09 22:00:00	1.15419	1.15498	1.15386	1.15485	4529	17
2019-01-09 23:00:00	1.15485	1.15548	1.15479	1.15541	6877	12
2019-01-10 00:00:00	1.15541	1.15587	1.15501	1.15554	12192	5
2019-01-10 01:00:00	1.15554	1.15607	1.15433	1.15537	17417	4
2019-01-10 02:00:00	1.15539	1.15565	1.15486	1.15545	9700	4
2019-01-10 03:00:00	1.15544	1.15697	1.15544	1.15691	12170	4
2019-01-10 04:00:00	1.15692	1.15692	1.1558	1.15584	8255	4
2019-01-10 05:00:00	1.15584	1.15627	1.15534	1.15604	8228	3
2019-01-10 06:00:00	1.15605	1.15613	1.15508	1.1552	10665	2
2019-01-10 07:00:00	1.15519	1.1556	1.15343	1.1541	25907	4
2019-01-10 08:00:00	1.15409	1.15578	1.15284	1.15287	25351	3
2019-01-10 09:00:00	1.15288	1.15331	1.15195	1.15243	21317	3
2019-01-10 10:00:00	1.15242	1.15324	1.15176	1.15276	17709	3
2019-01-10 11:00:00	1.15276	1.15392	1.15257	1.15292	20463	3
2019-01-10 12:00:00	1.15292	1.15391	1.15237	1.15338	23215	3
2019-01-10 13:00:00	1.15338	1.15451	1.15192	1.15204	26865	3
2019-01-10 14:00:00	1.15205	1.15308	1.15162	1.15256	27900	4
2019-01-10 15:00:00	1.15257	1.15273	1.15148	1.15225	31508	3
2019-01-10 16:00:00	1.15227	1.15233	1.15102	1.15164	26665	3
2019-01-10 17:00:00	1.15164	1.15183	1.14972	1.15057	99655	4
2019-01-10 18:00:00	1.15061	1.15133	1.14844	1.14978	28502	4
2019-01-10 19:00:00	1.14978	1.15056	1.14951	1.14997	21386	4
2019-01-10 20:00:00	1.14997	1.15001	1.14951	1.14977	11498	4
2019-01-10 21:00:00	1.14978	1.15009	1.14975	1.14994	5298	4
2019-01-10 22:00:00	1.14994	1.15003	1.14964	1.14973	3044	19
2019-01-10 23:00:00	1.14973	1.15082	1.14961	1.15081	6717	14
2019-01-11 00:00:00	1.15082	1.1517	1.15058	1.15113	10475	5
2019-01-11 01:00:00	1.15113	1.15227	1.1507	1.15177	11385	4
2019-01-11 02:00:00	1.15177	1.15249	1.15133	1.15218	10059	3
2019-01-11 03:00:00	1.15218	1.15277	1.15186	1.15248	7223	4
2019-01-11 04:00:00	1.15248	1.153	1.15225	1.15289	7387	4
2019-01-11 05:00:00	1.1529	1.15308	1.15217	1.15253	7293	2
2019-01-11 06:00:00	1.15253	1.15291	1.15171	1.15227	8646	4
2019-01-11 07:00:00	1.15226	1.1532	1.15216	1.15261	16498	4
2019-01-11 08:00:00	1.1526	1.153	1.15173	1.15291	20986	3
2019-01-11 09:00:00	1.15293	1.15295	1.15164	1.15196	20597	3
2019-01-11 10:00:00	1.15197	1.15403	1.15155	1.15345	21934	3
2019-01-11 11:00:00	1.15345	1.15346	1.15188	1.15318	22642	3
2019-01-11 12:00:00	1.15319	1.15364	1.15221	1.15278	20423	3
2019-01-11 13:00:00	1.15279	1.15356	1.152	1.15265	25001	3
2019-01-11 14:00:00	1.15265	1.15269	1.1458	1.14701	38568	3
2019-01-11 15:00:00	1.14698	1.14811	1.14618	1.14773	26665	3
2019-01-11 16:00:00	1.14774	1.14794	1.14646	1.14781	24838	2
2019-01-11 17:00:00	1.14781	1.14858	1.14776	1.14823	20096	3
2019-01-11 18:00:00	1.14823	1.14837	1.14695	1.14708	14421	3
